register-normal-username,register-normal-password,register-normal-re_password,register-normal-email,register-abnormal-username,register-abnormal-password,register-abnormal-re_password,register-abnormal-email,login-normal-username,login-normal-password,login-abnormal-username,login-abnormal-password,makeorder-normal-username,makeorder-normal-password,makeorder-normal-bookidstr,makeorder-normal-bookcountstr,makeorder-normal-bookpricestr,makeorder-normal-receivername,makeorder-normal-address,makeorder-abnormal-username,makeorder-abnormal-password,makeorder-abnormal-bookidstr,makeorder-abnormal-bookcountstr,makeorder-abnormal-bookpricestr,makeorder-abnormal-receivername,makeorder-abnormal-address,orderdaterange-normal-username,orderdaterange-normal-password,orderdaterange-normal-searchbookstr,orderdaterange-normal-startdate,orderdaterange-normal-enddate,orderdaterange-abnormal-username,orderdaterange-abnormal-password,orderdaterange-abnormal-searchbookstr,orderdaterange-abnormal-startdate,orderdaterange-abnormal-enddate,edituser-normal-username,edituser-normal-password,edituser-normal-userid,edituser-normal-changedstate
,,,,ebook,ebook1,ebook1,ebook126,,,,,,,,,,,,Customer,customer1234,[500],[-2],[99],huidongxu,SJTU,,,,,,,,,,,,,,
,,,,ebook,ebook1,ebook12345,ebook@126.com,,,,,,,,,,,,Customer,customer1234,[1005],[-2],[99],huidongxu,SJTU,,,,,,,,,,,,,,
,,,,ebook,ebook1,ebook12345,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ebook,ebook,ebook,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ebook,ebook,ebook,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ebook,ebook,ebook12345,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ebook,ebook,ebook12345,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ebook,12345,12345,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ebook,12345,12345,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ebook,12345,ebook12345,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ebook,12345,ebook12345,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook12345,ebook12345,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook12345,ebook12345,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook12345,ebook1234567,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook12345,ebook1234567,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook1,ebook1,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook1,ebook1,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook1,ebook12345,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook1,ebook12345,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook,ebook,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook,ebook,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook,ebook12345,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ebook,ebook12345,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12345,12345,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12345,12345,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12345,ebook12345,ebook@126.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12345,ebook12345,ebook126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
